新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价
新老品,US,1731899640523821919,S251010010150,Chic Curves,大码女装,女士下装,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/932a55adf5ed40c2a7efa3387c014e44~tplv-g9dfdl17fc-origin-image.image,2025-10-13,,高GPM,3872,1,In Affiliate,https://shop.tiktok.com/view/product/1731899640523821919?region=US&locale=en,23.9
新老品,US,1732098338295485006,S251128046077,ChicVibe Fashion,标码女装,女士套装及西服,4.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/80da0aa4a0234d928b24b9bbd46b73d9~tplv-g9dfdl17fc-origin-image.image,2025-12-01,,,8036,2,In Affiliate,https://shop.tiktok.com/view/product/1732098338295485006?region=US&locale=en,11.3
新老品,US,1732353486527238978,S260418002528,Aliling Store,标码女装,女士下装,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/21ab2a9b718a4b28b8a54c5a8dc4c139~tplv-g9dfdl17fc-origin-image.image,2026-04-24,,高GPM,2199,3,In Affiliate,https://shop.tiktok.com/view/product/1732353486527238978?region=US&locale=en,24.0
新老品,GB,1729443457023904835,S241205008501,Chic Unique Designs,标码女装,女士下装,5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/4eba5d1990ea41d6bed15573cfe951d4~tplv-g9dfdl17fc-origin-image.image,2024-12-18,,,4017,1,In Affiliate,https://shop.tiktok.com/view/product/1729443457023904835?region=GB&locale=en,9.0
新老品,US,1732463152760000524,S260628008496,Chic Budget Luxe,标码女装,女士套装及西服,4.2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/29392fb58d1449849bcd0669b3555215~tplv-g9dfdl17fc-origin-image.image,2026-06-28,,高GPM,550,4,In Affiliate,https://shop.tiktok.com/view/product/1732463152760000524?region=US&locale=en,21.3
新老品,US,1732286763402563671,S260312021243,Novelife,标码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/f749d3fff55747e9abcae0c8b7bfe08a~tplv-g9dfdl17fc-origin-image.image,2026-03-24,,,4199,5,In Affiliate,https://shop.tiktok.com/view/product/1732286763402563671?region=US&locale=en,21.8
新老品,US,1732390143910580334,S260508026117,Soft Frame,标码女装,女士套装及西服,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/f3bbeaedbd944769bda9f9944897e1c3~tplv-g9dfdl17fc-origin-image.image,2026-05-13,,,3323,6,In Affiliate,https://shop.tiktok.com/view/product/1732390143910580334?region=US&locale=en,25.2
新老品,GB,1729490452571986000,S250316007676,chic angel,标码女装,女士下装,4.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/02b017aa43d64dc1b47cdfff4270bd7e~tplv-g9dfdl17fc-origin-image.image,2025-04-20,,高GPM,2954,2,In Affiliate,https://shop.tiktok.com/view/product/1729490452571986000?region=GB&locale=en,13.7
新老品,US,1732313618323050648,S260331062310,Oohneed,标码女装,女士套装及西服,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/1b458d55e31d425db35994daea3f8f6b~tplv-g9dfdl17fc-origin-image.image,2026-04-10,,,4338,7,In Affiliate,https://shop.tiktok.com/view/product/1732313618323050648?region=US&locale=en,21.4
新老品,US,1732222169951277353,S260114044960,Ophelia Muse,标码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/e04b63f0515246f991464c2ad611608c~tplv-g9dfdl17fc-origin-image.image,2026-01-27,,,3391,8,In Affiliate,https://shop.tiktok.com/view/product/1732222169951277353?region=US&locale=en,20.4
新老品,US,1729479845478241357,S260128044038,YarnPop,标码女装,女士针织衫,4.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/0e441397aa6f42039fbb00573da8e78d~tplv-g9dfdl17fc-origin-image.image,2026-01-30,,,3415,9,In Affiliate,https://shop.tiktok.com/view/product/1729479845478241357?region=US&locale=en,12.7
新老品,US,1729479925562053719,S260128062588,Novelife,标码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/ed29d68870fe44339022fede090d1113~tplv-g9dfdl17fc-origin-image.image,2026-03-10,,,1180,10,In Affiliate,https://shop.tiktok.com/view/product/1729479925562053719?region=US&locale=en,30.7
新老品,US,1732258417239494779,S260124060956,ROVELA Clothing,标码女装,女士套装及西服,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/23873652473842dc9a19d0bcf3230859~tplv-g9dfdl17fc-origin-image.image,2026-01-27,,高GPM,4502,11,In Affiliate,https://shop.tiktok.com/view/product/1732258417239494779?region=US&locale=en,23.1
新老品,US,1731210981194699450,S250517011022,MIXIFashion,标码女装,女士套装及西服,4.3,https://p16-she-va.ibyteimg.com/tos-maliva-i-g9dfdl17fc-us/67fc5c0af2c9464da24130444835c763~tplv-g9dfdl17fc-origin-image.image,2025-05-23,,,8328,12,In Affiliate,https://shop.tiktok.com/view/product/1731210981194699450?region=US&locale=en,23.1
新老品,US,1731425592130637993,S250616014603,Sylure,标码女装,女士套装及西服,4.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/de2a53258a9a45d2b40618a2a9f26f04~tplv-g9dfdl17fc-origin-image.image,2025-07-08,,,4367,13,In Affiliate,https://shop.tiktok.com/view/product/1731425592130637993?region=US&locale=en,17.4
新老品,US,1732308776985924240,S260327056318,LILI.AN.SHOP,大码女装,女士上装,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/112a8f14e7494d8a87698210c0af637e~tplv-g9dfdl17fc-origin-image.image,2026-04-05,,,3051,14,In Affiliate,https://shop.tiktok.com/view/product/1732308776985924240?region=US&locale=en,12.4
新老品,US,1732380227029667913,S260429018651,Easy Buy Relax,大码女装,女士下装,4.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/bb2187a105a24b349840f02248d9c8f4~tplv-g9dfdl17fc-origin-image.image,2026-05-11,,高GPM,3627,15,In Affiliate,https://shop.tiktok.com/view/product/1732380227029667913?region=US&locale=en,25.0
新老品,US,1732402613314949516,S260518008263,Jane Mano,标码女装,女士下装,3.9,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/9022696598bc421a9b1e9027bbf16201~tplv-g9dfdl17fc-origin-image.image,2026-05-23,,,2024,16,In Affiliate,https://shop.tiktok.com/view/product/1732402613314949516?region=US&locale=en,19.9
新老品,GB,1729508782622612419,S250508013693,Calorie Club,标码女装,女士套装及西服,4.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/db875a8605a14daca0a3defc26af3125~tplv-g9dfdl17fc-origin-image.image,2025-05-15,,高GPM,10146,3,In Affiliate,https://shop.tiktok.com/view/product/1729508782622612419?region=GB&locale=en,26.9
新老品,US,1730255908420358449,S241127008690,Hawthaw Women Apparel,标码女装,女士套装及西服,4,https://p16-she-va.ibyteimg.com/tos-maliva-i-g9dfdl17fc-us/f1712d06703248139b2d3b415db47017~tplv-g9dfdl17fc-origin-image.image,2024-12-14,,,5646,17,In Affiliate,https://shop.tiktok.com/view/product/1730255908420358449?region=US&locale=en,22.2
新老品,US,1732406295534080179,S260520031675,ZOVINRIA,标码女装,女士针织衫,3.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/cff65432323d4495b81f90afc1609635~tplv-g9dfdl17fc-origin-image.image,2026-05-29,,,1052,18,In Affiliate,https://shop.tiktok.com/view/product/1732406295534080179?region=US&locale=en,21.3
新老品,GB,1729440910999260997,S241203004194,ZANZEA CHOICE,标码女装,女士套装及西服,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6e07e6c807f646f399a3ccff6cdda0ce~tplv-g9dfdl17fc-origin-image.image,2024-12-11,,,2561,4,In Affiliate,https://shop.tiktok.com/view/product/1729440910999260997?region=GB&locale=en,23.0
新老品,GB,1729844468350294569,S260606026762,Trend Savage,标码女装,女士套装及西服,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/01a1638b515c4b1f97544db6f5363813~tplv-g9dfdl17fc-origin-image.image,2026-06-14,,,1228,5,In Affiliate,https://shop.tiktok.com/view/product/1729844468350294569?region=GB&locale=en,23.0
新老品,GB,1729793508629125311,S260407049171,Evilyn chic,标码女装,女士套装及西服,4.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2e8c85dcf0de48d4b94709f8e207e704~tplv-g9dfdl17fc-origin-image.image,2026-04-15,,高GPM,4237,6,In Affiliate,https://shop.tiktok.com/view/product/1729793508629125311?region=GB&locale=en,15.6
新老品,US,1732076557935350065,S251121061352,Hawthaw Women Apparel,标码女装,女士套装及西服,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6386b2eb94294202a195d19ff7bf0314~tplv-g9dfdl17fc-origin-image.image,2025-12-05,,,4263,19,In Affiliate,https://shop.tiktok.com/view/product/1732076557935350065?region=US&locale=en,15.9
新老品,US,1732015321642275159,S251103029462,FOXCLAW Curve,大码女装,女士上装,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6b497720df5a464499907b4cd05ce875~tplv-g9dfdl17fc-origin-image.image,2025-11-16,,高GPM,4812,20,In Affiliate,https://shop.tiktok.com/view/product/1732015321642275159?region=US&locale=en,14.5
